select0_0,select0_1,select0_2,select0_3,select1_0,select1_1,select1_2,select1_3,input_0_0,input_0_1,input_0_2,input_0_3,input_1_0,input_1_1,input_1_2,input_1_3,o_0_0,o_0_1,o_0_2,o_0_3,o_1_0,o_1_1,o_1_2,o_1_3
0,6,5,4,7,6,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,4,6,5,4,7,6,5,0,1,0,0,10,0,0,0,1,10,0,0,10,0,0,0
2,5,1,6,5,4,7,6,0,20,2,0,0,11,0,0,2,11,20,0,11,0,0,0
3,6,2,5,6,5,4,7,0,0,21,3,0,30,12,0,3,12,21,30,12,30,0,0
0,7,3,6,2,6,5,4,4,0,40,22,0,0,31,13,4,13,22,31,40,31,0,0
1,4,0,7,3,6,6,5,23,5,0,41,14,0,50,32,5,14,23,32,41,50,50,0
2,5,1,4,0,7,3,6,42,24,6,60,33,15,0,51,6,15,24,33,42,51,60,0
3,6,2,5,1,4,0,7,61,43,25,7,52,34,16,70,7,16,25,34,43,52,61,70
0,7,3,6,2,5,1,4,8,62,44,26,71,53,35,17,8,17,26,35,44,53,62,71
1,4,0,7,3,6,2,5,27,9,63,45,18,72,54,36,9,18,27,36,45,54,63,72
4,6,5,4,7,6,5,4,0,0,0,0,10,0,0,0,10,0,0,10,0,0,0,10
5,1,6,5,4,7,6,5,0,20,0,0,0,11,0,0,11,20,0,11,0,0,0,11
6,2,5,6,5,4,7,6,0,0,21,0,0,30,12,0,12,21,30,12,30,0,0,12
7,3,6,2,6,5,4,7,0,0,40,22,0,0,31,13,13,22,31,40,31,0,0,13
4,0,7,3,6,6,5,4,23,0,0,41,14,0,50,32,14,23,32,41,50,50,0,14
5,1,4,0,7,3,6,5,42,24,0,60,33,15,0,51,15,24,33,42,51,60,0,15
6,2,5,1,4,0,7,6,61,43,25,0,52,34,16,70,16,25,34,43,52,61,70,16
7,3,6,2,5,1,4,0,80,62,44,26,71,53,35,17,17,26,35,44,53,62,71,80
4,0,7,3,6,2,5,1,27,81,63,45,18,72,54,36,18,27,36,45,54,63,72,81
5,1,4,0,7,3,6,2,46,28,82,64,37,19,73,55,19,28,37,46,55,64,73,82
1,6,5,4,7,6,5,4,0,20,0,0,0,0,0,0,20,0,0,0,0,0,0,0
2,5,6,5,4,7,6,5,0,0,21,0,0,30,0,0,21,30,0,30,0,0,0,30
3,6,2,6,5,4,7,6,0,0,40,22,0,0,31,0,22,31,40,31,0,0,0,31
0,7,3,6,6,5,4,7,23,0,0,41,0,0,50,32,23,32,41,50,50,0,0,32
1,4,0,7,3,6,5,4,42,24,0,60,33,0,0,51,24,33,42,51,60,0,0,33
2,5,1,4,0,7,6,5,61,43,25,0,52,34,0,70,25,34,43,52,61,70,0,34
3,6,2,5,1,4,0,6,80,62,44,26,71,53,35,0,26,35,44,53,62,71,80,35
0,7,3,6,2,5,1,4,27,81,63,45,90,72,54,36,27,36,45,54,63,72,81,90
1,4,0,7,3,6,2,5,46,28,82,64,37,91,73,55,28,37,46,55,64,73,82,91
2,5,1,4,0,7,3,6,65,47,29,83,56,38,92,74,29,38,47,56,65,74,83,92
